"","newsquality","totalrev","profit","fincom","policynews","policyfinance","profitm"
"1",7,404,30,70,4,4.14285714285714,0.0742574257425743
"2",7,100,20,52,NA,NA,0.2
"3",7,141,1,89,3.71428571428571,NA,0.00709219858156028
"4",7,80,NA,24,3.57142857142857,3.85714285714286,NA
"5",6,155,100,51,4,4.14285714285714,0.645161290322581
"6",7,1000,100,90,5,5,0.1
"7",6,NA,NA,NA,2.28571428571429,1.85714285714286,NA
"8",8,30,5,30,3.28571428571429,3.28571428571429,0.166666666666667
"9",5,32,NA,23,NA,NA,NA
"10",7,30,5,30,4.28571428571429,4.42857142857143,0.166666666666667
"11",6,116,NA,32,4.28571428571429,3.85714285714286,NA
"12",7,200,18,50,NA,NA,0.09
"13",7,24,NA,52,3.71428571428571,3.57142857142857,NA
"14",9,30,5,30,4.28571428571429,4.28571428571429,0.166666666666667
"15",NA,127,1,60,4,4.28571428571429,0.0078740157480315
"16",8,100,30,20,3.57142857142857,4.14285714285714,0.3
"17",9,NA,NA,NA,NA,3,NA
"18",8,610,100,40,4.28571428571429,4.57142857142857,0.163934426229508
"19",6,NA,NA,NA,3.14285714285714,2.28571428571429,NA
"20",6,178,21,50,NA,3.28571428571429,0.117977528089888
"21",8,61,1,100,4.42857142857143,4.14285714285714,0.0163934426229508
"22",10,8,NA,25,4.28571428571429,4.14285714285714,NA
"23",7,NA,NA,NA,NA,NA,NA
"24",5,183,18,51,4.42857142857143,3.85714285714286,0.0983606557377049
"25",6,4,1,77,3.71428571428571,2.71428571428571,0.25
"26",7,123,15,76,3.14285714285714,3.14285714285714,0.121951219512195
"27",9,NA,NA,NA,4.14285714285714,4,NA
"28",6,11,3,26,3.57142857142857,4,0.272727272727273
"29",6,NA,NA,NA,3.14285714285714,NA,NA
"30",8,NA,NA,NA,NA,NA,NA
"31",4,18,0,11,3.42857142857143,3.28571428571429,0
